active,confirmed,deaths,deltaconfirmed,deltadeaths,deltarecovered,lastupdatedtime,recovered,state,statecode,statenotes
20485,27890,882,1607,57,585,26/04/2020 23:32:37,6523,Total,TT,
6538,8068,342,440,19,112,26/04/2020 20:32:37,1188,Maharashtra,MH,
2837,3301,151,230,18,31,26/04/2020 20:22:38,313,Gujarat,GJ,
1987,2918,54,293,0,8,26/04/2020 22:32:37,877,Delhi,DL,
1515,2185,41,102,7,116,26/04/2020 22:12:37,629,Rajasthan,RJ,
1685,2090,103,145,4,21,26/04/2020 18:32:38,302,Madhya Pradesh,MP,
841,1885,24,64,1,60,26/04/2020 18:12:38,1020,Tamil Nadu,TN,
1516,1873,30,80,3,66,26/04/2020 21:32:38,327,Uttar Pradesh,UP,
835,1097,31,81,0,60,26/04/2020 11:57:37,231,Andhra Pradesh,AP,
660,1001,25,11,0,9,26/04/2020 20:52:39,316,Telangana,TG,
486,611,20,40,2,2,26/04/2020 09:47:38,105,West Bengal,WB,WB totals and district numbers are currently updated according to https://www.mohfw.gov.in
302,503,19,3,1,24,26/04/2020 19:22:38,182,Karnataka,KA,
379,523,7,29,1,25,26/04/2020 17:52:37,137,Jammu and Kashmir,JK,
123,469,4,11,0,4,26/04/2020 17:57:38,342,Kerala,KL,Mahe native who expired in Kannur included in Kerala's tally
220,322,18,14,1,12,26/04/2020 22:12:39,84,Punjab,PB,
94,296,3,9,0,8,26/04/2020 20:22:40,199,Haryana,HR,One death in Ambala included
219,277,2,26,0,11,26/04/2020 23:32:37,56,Bihar,BR,
67,103,1,3,0,1,26/04/2020 20:42:39,35,Odisha,OR,
66,82,3,15,0,5,26/04/2020 20:17:38,13,Jharkhand,JH,
25,51,0,3,0,0,26/04/2020 23:22:40,26,Uttarakhand,UT,
16,40,2,0,0,0,26/04/2020 10:47:39,22,Himachal Pradesh,HP,Death of Tibetan refugee included
5,37,0,0,0,0,25/04/2020 09:37:38,32,Chhattisgarh,CT,
8,36,1,0,0,8,26/04/2020 17:32:41,27,Assam,AS,Includes one case from Nagaland
22,33,0,0,0,0,25/04/2020 20:02:39,11,Andaman and Nicobar Islands,AN,
19,36,0,8,0,2,26/04/2020 18:52:38,17,Chandigarh,CH,
4,20,0,0,0,0,25/04/2020 17:32:38,16,Ladakh,LA,
11,12,1,0,0,0,18/04/2020 12:38:07,0,Meghalaya,ML,
4,8,0,0,0,0,25/04/2020 17:42:40,4,Puducherry,PY,
0,7,0,0,0,0,19/04/2020 17:04:07,7,Goa,GA,
0,2,0,0,0,0,20/04/2020 10:04:08,2,Manipur,MN,
0,2,0,0,0,0,23/04/2020 20:47:41,2,Tripura,TR,
1,1,0,0,0,0,26/03/2020 07:19:29,0,Mizoram,MZ,
0,1,0,0,0,0,16/04/2020 19:33:11,1,Arunachal Pradesh,AR,
0,0,0,0,0,0,20/04/2020 08:45:07,0,Nagaland,NL,
0,0,0,0,0,0,17/04/2020 15:03:07,0,Dadra and Nagar Haveli,DN,
0,0,0,0,0,0,26/03/2020 07:19:29,0,Daman and Diu,DD,
0,0,0,0,0,0,26/03/2020 07:19:29,0,Lakshadweep,LD,
0,0,0,0,0,0,26/03/2020 07:19:29,0,Sikkim,SK,
